# 動作サンプル３,,,,,,,,,,,,,,,,,,,
"# (1)アーム初期位置を関節角で""Test_ap_Tote""指定する。実行有りは移動する(Home位置登録)",,,,,,,,,,,,,,,,,,,
"# (2)座標指定""Front_BinG""に移動する(Home位置登録)",,,,,,,,,,,,,,,,,,,
"# (4)座標指定""Front_BinH""に移動する",,,,,,,,,,,,,,,,,,,
"# (3)""Test_BinG""に戻り移動する(ret指定)",,,,,,,,,,,,,,,,,,,
"# (5)座標指定""Test_BinI""に移動する",,,,,,,,,,,,,,,,,,,
"# (11)ステート名""posi_arm_ap_Tote""に移動する",,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#●move_type：動作名称指定,,,,,,,,,,,,,,,,,,,
"#ステート名指定：""group_state"" グループステート名でアーム動作指定",,,,,,,,,,,,,,,,,,,
"#座標指定：""cartesian"" 目標座標でアーム動作指定",,,,,,,,,,,,,,,,,,,
"#関節角指定：""joint"" 目標関節角でアーム動作指定",,,,,,,,,,,,,,,,,,,
#●name：アーム動作名称：グループステート名指定（他の指定は、名称任意）,,,,,,,,,,,,,,,,,,,
#●velocity：速度,,,,,,,,,,,,,,,,,,,
"#●""step""：動作ステップ： アーム動作実行後の次動作指定",,,,,,,,,,,,,,,,,,,
"#初期位置指定：""init"" アーム現在位置を""joint""指定で初期位置に設定する（Plan作成のみ）。その他指定とアーム実機動作時は""home""指定と同じ",,,,,,,,,,,,,,,,,,,
"#原点指定：""home"" 現在アーム位置から指定位置（原点）への移動動作を行う",,,,,,,,,,,,,,,,,,,
"#次移動：""next"" 指定位置への移動動作を行う",,,,,,,,,,,,,,,,,,,
"#""ret"" ：指定位置へ移動動作実行後に、直前の""home""指定位置への戻り動作を行う。",,,,,,,,,,,,,,,,,,,
"#指定なし：""next""と同じ",,,,,,,,,,,,,,,,,,,
move_type,name,velocity,step,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
joint,Test_ap_Tote,0.6,init,0.004599,-0.207526,-1.630064,0.000633,-1.719612,-0.004371,,,,,,,,,,
cartesian,Test_BinG,0.5,home,,,,,,,,,,,,,,,,
1,0.0001,0.0004,0.66,,,,,,,,,,,,,,,,
0.0001,-1,-0.0004,1.75,,,,,,,,,,,,,,,,
0.0004,0.0004,-1,1.2,,,,,,,,,,,,,,,,
0,0,0,1,,,,,,,,,,,,,,,,
cartesian,Test_BinH,0.4,ret,,,,,,,,,,,,,,,,
1,-0.0004,-0.0001,1,,,,,,,,,,,,,,,,
-0.0004,-1,0.0008,1.6,,,,,,,,,,,,,,,,
-0.0001,-0.0008,-1,1.2,,,,,,,,,,,,,,,,
0,0,0,1,,,,,,,,,,,,,,,,
cartesian,Test_BinI,0.3,,,,,,,,,,,,,,,,,
1,-0.0006,-0.001,1.33,,,,,,,,,,,,,,,,
-0.0006,-1,-0.0012,1.6,,,,,,,,,,,,,,,,
-0.001,0.0012,-1,1.2,,,,,,,,,,,,,,,,
0,0,0,1,,,,,,,,,,,,,,,,
group_state,posi_arm_ap_Tote,0.6,,,,,,,,,,,,,,,,,
